Month_year,Consultation_Type,Case,Age_Sex,Count,Age_Group,Sex,Age_Group_Num
2023 - 4,2,11,15-18 Male,1.0,15-18,Male,15-18
2023 - 4,2,12,15-18 Male,5.0,15-18,Male,15-18
2023 - 4,2,13,15-18 Male,1.0,15-18,Male,15-18
2023 - 4,2,14,15-18 Male,2.0,15-18,Male,15-18
2023 - 4,2,15,15-18 Male,2.0,15-18,Male,15-18
2023 - 4,2,16,15-18 Male,4.0,15-18,Male,15-18
2023 - 4,2,17,15-18 Male,2.0,15-18,Male,15-18
2023 - 4,2,18,15-18 Male,1.0,15-18,Male,15-18
2023 - 4,2,20,15-18 Male,2.0,15-18,Male,15-18
2023 - 8,1,1,15-18 Male,4.0,15-18,Male,15-18
2023 - 8,1,3,15-18 Male,2.0,15-18,Male,15-18
2023 - 8,1,9,15-18 Male,1.0,15-18,Male,15-18
2023 - 8,1,4,15-18 Male,4.0,15-18,Male,15-18
2023 - 8,1,7,15-18 Male,1.0,15-18,Male,15-18
2023 - 8,1,8,15-18 Male,3.0,15-18,Male,15-18
2023 - 8,1,10,15-18 Male,1.0,15-18,Male,15-18
2023 - 8,1,33,15-18 Male,2.0,15-18,Male,15-18
2023 - 8,1,17,15-18 Male,3.0,15-18,Male,15-18
2023 - 8,2,34,15-18 Male,1.0,15-18,Male,15-18
2023 - 8,2,12,15-18 Male,4.0,15-18,Male,15-18
2023 - 8,2,17,15-18 Male,2.0,15-18,Male,15-18
2023 - 8,2,15,15-18 Male,1.0,15-18,Male,15-18
2023 - 8,2,36,15-18 Male,2.0,15-18,Male,15-18
2023 - 8,2,37,15-18 Male,1.0,15-18,Male,15-18
2023 - 8,3,40,15-18 Male,1.0,15-18,Male,15-18
2023 - 12,1,1,15-18 Male,11.0,15-18,Male,15-18
2023 - 12,1,6,15-18 Male,6.0,15-18,Male,15-18
2023 - 12,1,3,15-18 Male,1.0,15-18,Male,15-18
2023 - 12,1,4,15-18 Male,3.0,15-18,Male,15-18
2023 - 12,1,7,15-18 Male,2.0,15-18,Male,15-18
2023 - 12,1,5,15-18 Male,1.0,15-18,Male,15-18
2023 - 12,1,17,15-18 Male,2.0,15-18,Male,15-18
2023 - 12,1,48,15-18 Male,2.0,15-18,Male,15-18
2023 - 12,1,8,15-18 Male,2.0,15-18,Male,15-18
2023 - 12,2,35,15-18 Male,2.0,15-18,Male,15-18
2023 - 12,2,49,15-18 Male,7.0,15-18,Male,15-18
2023 - 12,2,12,15-18 Male,1.0,15-18,Male,15-18
2023 - 12,2,17,15-18 Male,1.0,15-18,Male,15-18
2023 - 12,2,50,15-18 Male,1.0,15-18,Male,15-18
2023 - 12,2,14,15-18 Male,1.0,15-18,Male,15-18
2023 - 7,1,1,15-18 Male,5.0,15-18,Male,15-18
2023 - 7,1,3,15-18 Male,2.0,15-18,Male,15-18
2023 - 7,1,4,15-18 Male,3.0,15-18,Male,15-18
2023 - 7,1,7,15-18 Male,3.0,15-18,Male,15-18
2023 - 7,1,6,15-18 Male,1.0,15-18,Male,15-18
2023 - 7,1,8,15-18 Male,2.0,15-18,Male,15-18
2023 - 7,1,10,15-18 Male,1.0,15-18,Male,15-18
2023 - 7,1,5,15-18 Male,1.0,15-18,Male,15-18
2023 - 7,1,17,15-18 Male,2.0,15-18,Male,15-18
2023 - 7,2,59,15-18 Male,2.0,15-18,Male,15-18
2023 - 7,2,11,15-18 Male,1.0,15-18,Male,15-18
2023 - 7,2,15,15-18 Male,2.0,15-18,Male,15-18
2023 - 7,2,63,15-18 Male,3.0,15-18,Male,15-18
2023 - 6,1,1,15-18 Male,7.0,15-18,Male,15-18
2023 - 6,1,4,15-18 Male,1.0,15-18,Male,15-18
2023 - 6,1,9,15-18 Male,7.0,15-18,Male,15-18
2023 - 6,1,3,15-18 Male,2.0,15-18,Male,15-18
2023 - 6,1,7,15-18 Male,2.0,15-18,Male,15-18
2023 - 6,1,10,15-18 Male,1.0,15-18,Male,15-18
2023 - 6,1,5,15-18 Male,1.0,15-18,Male,15-18
2023 - 6,1,17,15-18 Male,3.0,15-18,Male,15-18
2023 - 6,1,8,15-18 Male,4.0,15-18,Male,15-18
2023 - 6,2,12,15-18 Male,2.0,15-18,Male,15-18
2023 - 6,2,15,15-18 Male,1.0,15-18,Male,15-18
2023 - 6,2,36,15-18 Male,2.0,15-18,Male,15-18
2023 - 6,2,17,15-18 Male,4.0,15-18,Male,15-18
2023 - 6,2,14,15-18 Male,1.0,15-18,Male,15-18
2023 - 11,1,4,15-18 Male,4.0,15-18,Male,15-18
2023 - 11,1,83,15-18 Male,3.0,15-18,Male,15-18
2023 - 11,1,6,15-18 Male,5.0,15-18,Male,15-18
2023 - 11,1,7,15-18 Male,6.0,15-18,Male,15-18
2023 - 11,1,1,15-18 Male,32.0,15-18,Male,15-18
2023 - 11,1,17,15-18 Male,4.0,15-18,Male,15-18
2023 - 11,1,5,15-18 Male,2.0,15-18,Male,15-18
2023 - 11,1,48,15-18 Male,2.0,15-18,Male,15-18
2023 - 11,1,84,15-18 Male,1.0,15-18,Male,15-18
2023 - 11,1,3,15-18 Male,3.0,15-18,Male,15-18
2023 - 11,2,15,15-18 Male,2.0,15-18,Male,15-18
2023 - 11,2,11,15-18 Male,2.0,15-18,Male,15-18
2023 - 11,2,59,15-18 Male,1.0,15-18,Male,15-18
2023 - 11,2,36,15-18 Male,12.0,15-18,Male,15-18
2023 - 11,2,35,15-18 Male,4.0,15-18,Male,15-18
2023 - 11,2,16,15-18 Male,2.0,15-18,Male,15-18
2023 - 11,2,14,15-18 Male,3.0,15-18,Male,15-18
2023 - 11,2,12,15-18 Male,1.0,15-18,Male,15-18
2023 - 10,1,1,15-18 Male,23.0,15-18,Male,15-18
2023 - 10,1,6,15-18 Male,10.0,15-18,Male,15-18
2023 - 10,1,3,15-18 Male,5.0,15-18,Male,15-18
2023 - 10,1,4,15-18 Male,9.0,15-18,Male,15-18
2023 - 10,1,7,15-18 Male,1.0,15-18,Male,15-18
2023 - 10,1,48,15-18 Male,5.0,15-18,Male,15-18
2023 - 10,1,8,15-18 Male,6.0,15-18,Male,15-18
2023 - 10,1,17,15-18 Male,2.0,15-18,Male,15-18
2023 - 10,2,35,15-18 Male,2.0,15-18,Male,15-18
2023 - 10,2,49,15-18 Male,9.0,15-18,Male,15-18
2023 - 10,2,12,15-18 Male,2.0,15-18,Male,15-18
2023 - 10,2,11,15-18 Male,2.0,15-18,Male,15-18
2023 - 10,2,15,15-18 Male,2.0,15-18,Male,15-18
2023 - 10,2,16,15-18 Male,4.0,15-18,Male,15-18
2023 - 10,2,95,15-18 Male,1.0,15-18,Male,15-18
2023 - 10,2,14,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,1,1,15-18 Male,16.0,15-18,Male,15-18
2023 - 9,1,6,15-18 Male,4.0,15-18,Male,15-18
2023 - 9,1,3,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,1,4,15-18 Male,5.0,15-18,Male,15-18
2023 - 9,1,7,15-18 Male,3.0,15-18,Male,15-18
2023 - 9,1,10,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,1,8,15-18 Male,3.0,15-18,Male,15-18
2023 - 9,1,48,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,1,84,15-18 Male,4.0,15-18,Male,15-18
2023 - 9,1,5,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,2,35,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,2,12,15-18 Male,0.0,15-18,Male,15-18
2023 - 9,2,11,15-18 Male,0.0,15-18,Male,15-18
2023 - 9,2,17,15-18 Male,2.0,15-18,Male,15-18
2023 - 9,2,49,15-18 Male,8.0,15-18,Male,15-18
2023 - 9,2,95,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,2,15,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,2,16,15-18 Male,1.0,15-18,Male,15-18
2023 - 9,2,51,15-18 Male,0.0,15-18,Male,15-18
2023 - 9,2,14,15-18 Male,0.0,15-18,Male,15-18
2023 - 4,1,1,15-18 Female,2.0,15-18,Female,15-18
2023 - 4,1,2,15-18 Female,3.0,15-18,Female,15-18
2023 - 4,1,3,15-18 Female,1.0,15-18,Female,15-18
2023 - 4,1,4,15-18 Female,6.0,15-18,Female,15-18
2023 - 4,1,5,15-18 Female,1.0,15-18,Female,15-18
2023 - 4,1,6,15-18 Female,2.0,15-18,Female,15-18
2023 - 4,1,7,15-18 Female,1.0,15-18,Female,15-18
2023 - 4,1,8,15-18 Female,9.0,15-18,Female,15-18
2023 - 4,1,9,15-18 Female,1.0,15-18,Female,15-18
2023 - 4,1,10,15-18 Female,1.0,15-18,Female,15-18
2023 - 4,2,11,15-18 Female,2.0,15-18,Female,15-18
2023 - 4,2,12,15-18 Female,6.0,15-18,Female,15-18
2023 - 4,2,13,15-18 Female,2.0,15-18,Female,15-18
2023 - 4,2,14,15-18 Female,2.0,15-18,Female,15-18
2023 - 4,2,15,15-18 Female,4.0,15-18,Female,15-18
2023 - 4,2,17,15-18 Female,1.0,15-18,Female,15-18
2023 - 4,2,20,15-18 Female,1.0,15-18,Female,15-18
2023 - 8,1,1,15-18 Female,8.0,15-18,Female,15-18
2023 - 8,1,3,15-18 Female,4.0,15-18,Female,15-18
2023 - 8,1,9,15-18 Female,1.0,15-18,Female,15-18
2023 - 8,1,4,15-18 Female,7.0,15-18,Female,15-18
2023 - 8,1,7,15-18 Female,3.0,15-18,Female,15-18
2023 - 8,1,8,15-18 Female,6.0,15-18,Female,15-18
2023 - 8,1,10,15-18 Female,3.0,15-18,Female,15-18
2023 - 8,1,33,15-18 Female,3.0,15-18,Female,15-18
2023 - 8,2,12,15-18 Female,11.0,15-18,Female,15-18
2023 - 8,2,15,15-18 Female,1.0,15-18,Female,15-18
2023 - 8,2,36,15-18 Female,6.0,15-18,Female,15-18
2023 - 8,2,38,15-18 Female,2.0,15-18,Female,15-18
2023 - 8,2,16,15-18 Female,2.0,15-18,Female,15-18
2023 - 8,2,39,15-18 Female,2.0,15-18,Female,15-18
2023 - 12,1,1,15-18 Female,14.0,15-18,Female,15-18
2023 - 12,1,6,15-18 Female,7.0,15-18,Female,15-18
2023 - 12,1,3,15-18 Female,6.0,15-18,Female,15-18
2023 - 12,1,4,15-18 Female,11.0,15-18,Female,15-18
2023 - 12,1,7,15-18 Female,5.0,15-18,Female,15-18
2023 - 12,1,10,15-18 Female,2.0,15-18,Female,15-18
2023 - 12,1,17,15-18 Female,1.0,15-18,Female,15-18
2023 - 12,1,48,15-18 Female,1.0,15-18,Female,15-18
2023 - 12,1,8,15-18 Female,4.0,15-18,Female,15-18
2023 - 12,2,35,15-18 Female,3.0,15-18,Female,15-18
2023 - 12,2,49,15-18 Female,11.0,15-18,Female,15-18
2023 - 12,2,11,15-18 Female,1.0,15-18,Female,15-18
2023 - 12,2,12,15-18 Female,3.0,15-18,Female,15-18
2023 - 12,2,17,15-18 Female,1.0,15-18,Female,15-18
2023 - 12,2,15,15-18 Female,6.0,15-18,Female,15-18
2023 - 12,2,16,15-18 Female,1.0,15-18,Female,15-18
2023 - 7,1,1,15-18 Female,10.0,15-18,Female,15-18
2023 - 7,1,3,15-18 Female,4.0,15-18,Female,15-18
2023 - 7,1,4,15-18 Female,5.0,15-18,Female,15-18
2023 - 7,1,7,15-18 Female,2.0,15-18,Female,15-18
2023 - 7,1,6,15-18 Female,2.0,15-18,Female,15-18
2023 - 7,1,8,15-18 Female,3.0,15-18,Female,15-18
2023 - 7,1,10,15-18 Female,2.0,15-18,Female,15-18
2023 - 7,1,33,15-18 Female,1.0,15-18,Female,15-18
2023 - 7,1,5,15-18 Female,1.0,15-18,Female,15-18
2023 - 7,2,59,15-18 Female,2.0,15-18,Female,15-18
2023 - 7,2,11,15-18 Female,2.0,15-18,Female,15-18
2023 - 7,2,12,15-18 Female,5.0,15-18,Female,15-18
2023 - 7,2,15,15-18 Female,2.0,15-18,Female,15-18
2023 - 7,2,63,15-18 Female,3.0,15-18,Female,15-18
2023 - 6,1,1,15-18 Female,5.0,15-18,Female,15-18
2023 - 6,1,4,15-18 Female,11.0,15-18,Female,15-18
2023 - 6,1,3,15-18 Female,1.0,15-18,Female,15-18
2023 - 6,1,7,15-18 Female,3.0,15-18,Female,15-18
2023 - 6,1,10,15-18 Female,1.0,15-18,Female,15-18
2023 - 6,1,5,15-18 Female,1.0,15-18,Female,15-18
2023 - 6,1,8,15-18 Female,2.0,15-18,Female,15-18
2023 - 6,2,12,15-18 Female,4.0,15-18,Female,15-18
2023 - 6,2,16,15-18 Female,1.0,15-18,Female,15-18
2023 - 6,2,15,15-18 Female,3.0,15-18,Female,15-18
2023 - 6,2,11,15-18 Female,2.0,15-18,Female,15-18
2023 - 6,2,36,15-18 Female,2.0,15-18,Female,15-18
2023 - 6,2,17,15-18 Female,1.0,15-18,Female,15-18
2023 - 6,2,14,15-18 Female,3.0,15-18,Female,15-18
2023 - 11,1,4,15-18 Female,14.0,15-18,Female,15-18
2023 - 11,1,83,15-18 Female,2.0,15-18,Female,15-18
2023 - 11,1,6,15-18 Female,5.0,15-18,Female,15-18
2023 - 11,1,7,15-18 Female,2.0,15-18,Female,15-18
2023 - 11,1,1,15-18 Female,18.0,15-18,Female,15-18
2023 - 11,1,17,15-18 Female,1.0,15-18,Female,15-18
2023 - 11,1,5,15-18 Female,1.0,15-18,Female,15-18
2023 - 11,1,48,15-18 Female,1.0,15-18,Female,15-18
2023 - 11,1,84,15-18 Female,4.0,15-18,Female,15-18
2023 - 11,1,3,15-18 Female,2.0,15-18,Female,15-18
2023 - 11,2,15,15-18 Female,1.0,15-18,Female,15-18
2023 - 11,2,39,15-18 Female,1.0,15-18,Female,15-18
2023 - 11,2,36,15-18 Female,11.0,15-18,Female,15-18
2023 - 11,2,35,15-18 Female,1.0,15-18,Female,15-18
2023 - 11,2,16,15-18 Female,2.0,15-18,Female,15-18
2023 - 11,2,14,15-18 Female,3.0,15-18,Female,15-18
2023 - 11,2,12,15-18 Female,11.0,15-18,Female,15-18
2023 - 10,1,1,15-18 Female,20.0,15-18,Female,15-18
2023 - 10,1,6,15-18 Female,7.0,15-18,Female,15-18
2023 - 10,1,3,15-18 Female,10.0,15-18,Female,15-18
2023 - 10,1,4,15-18 Female,4.0,15-18,Female,15-18
2023 - 10,1,7,15-18 Female,2.0,15-18,Female,15-18
2023 - 10,1,48,15-18 Female,5.0,15-18,Female,15-18
2023 - 10,1,10,15-18 Female,3.0,15-18,Female,15-18
2023 - 10,1,8,15-18 Female,4.0,15-18,Female,15-18
2023 - 10,1,5,15-18 Female,1.0,15-18,Female,15-18
2023 - 10,1,17,15-18 Female,3.0,15-18,Female,15-18
2023 - 10,2,35,15-18 Female,2.0,15-18,Female,15-18
2023 - 10,2,49,15-18 Female,11.0,15-18,Female,15-18
2023 - 10,2,12,15-18 Female,6.0,15-18,Female,15-18
2023 - 10,2,11,15-18 Female,3.0,15-18,Female,15-18
2023 - 10,2,17,15-18 Female,3.0,15-18,Female,15-18
2023 - 10,2,15,15-18 Female,2.0,15-18,Female,15-18
2023 - 10,2,16,15-18 Female,2.0,15-18,Female,15-18
2023 - 10,2,14,15-18 Female,1.0,15-18,Female,15-18
2023 - 9,1,1,15-18 Female,10.0,15-18,Female,15-18
2023 - 9,1,6,15-18 Female,3.0,15-18,Female,15-18
2023 - 9,1,3,15-18 Female,4.0,15-18,Female,15-18
2023 - 9,1,4,15-18 Female,6.0,15-18,Female,15-18
2023 - 9,1,7,15-18 Female,3.0,15-18,Female,15-18
2023 - 9,1,10,15-18 Female,3.0,15-18,Female,15-18
2023 - 9,1,8,15-18 Female,3.0,15-18,Female,15-18
2023 - 9,1,48,15-18 Female,8.0,15-18,Female,15-18
2023 - 9,1,84,15-18 Female,2.0,15-18,Female,15-18
2023 - 9,2,35,15-18 Female,3.0,15-18,Female,15-18
2023 - 9,2,12,15-18 Female,7.0,15-18,Female,15-18
2023 - 9,2,11,15-18 Female,1.0,15-18,Female,15-18
2023 - 9,2,17,15-18 Female,1.0,15-18,Female,15-18
2023 - 9,2,49,15-18 Female,8.0,15-18,Female,15-18
2023 - 9,2,95,15-18 Female,2.0,15-18,Female,15-18
2023 - 9,2,15,15-18 Female,1.0,15-18,Female,15-18
2023 - 9,2,16,15-18 Female,2.0,15-18,Female,15-18
2023 - 9,2,51,15-18 Female,0.0,15-18,Female,15-18
2023 - 9,2,14,15-18 Female,0.0,15-18,Female,15-18
2023 - 4,1,1,19-24 Male,4.0,19-24,Male,19-24
2023 - 4,1,2,19-24 Male,12.0,19-24,Male,19-24
2023 - 4,1,4,19-24 Male,2.0,19-24,Male,19-24
2023 - 4,1,7,19-24 Male,6.0,19-24,Male,19-24
2023 - 4,1,8,19-24 Male,1.0,19-24,Male,19-24
2023 - 4,1,10,19-24 Male,1.0,19-24,Male,19-24
2023 - 4,2,11,19-24 Male,1.0,19-24,Male,19-24
2023 - 4,2,15,19-24 Male,3.0,19-24,Male,19-24
2023 - 4,2,16,19-24 Male,2.0,19-24,Male,19-24
2023 - 4,2,17,19-24 Male,4.0,19-24,Male,19-24
2023 - 8,1,1,19-24 Male,7.0,19-24,Male,19-24
2023 - 8,1,3,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,1,9,19-24 Male,3.0,19-24,Male,19-24
2023 - 8,1,4,19-24 Male,4.0,19-24,Male,19-24
2023 - 8,1,7,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,1,8,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,1,5,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,1,10,19-24 Male,1.0,19-24,Male,19-24
2023 - 8,1,33,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,1,17,19-24 Male,5.0,19-24,Male,19-24
2023 - 8,2,34,19-24 Male,1.0,19-24,Male,19-24
2023 - 8,2,12,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,2,17,19-24 Male,5.0,19-24,Male,19-24
2023 - 8,2,15,19-24 Male,1.0,19-24,Male,19-24
2023 - 8,2,36,19-24 Male,2.0,19-24,Male,19-24
2023 - 8,2,38,19-24 Male,1.0,19-24,Male,19-24
2023 - 8,2,16,19-24 Male,1.0,19-24,Male,19-24
2023 - 12,1,1,19-24 Male,11.0,19-24,Male,19-24
2023 - 12,1,6,19-24 Male,4.0,19-24,Male,19-24
2023 - 12,1,3,19-24 Male,1.0,19-24,Male,19-24
2023 - 12,1,4,19-24 Male,6.0,19-24,Male,19-24
2023 - 12,1,7,19-24 Male,4.0,19-24,Male,19-24
2023 - 12,1,10,19-24 Male,1.0,19-24,Male,19-24
2023 - 12,1,17,19-24 Male,5.0,19-24,Male,19-24
2023 - 12,1,48,19-24 Male,2.0,19-24,Male,19-24
2023 - 12,1,8,19-24 Male,2.0,19-24,Male,19-24
2023 - 12,2,49,19-24 Male,2.0,19-24,Male,19-24
2023 - 12,2,12,19-24 Male,1.0,19-24,Male,19-24
2023 - 12,2,17,19-24 Male,3.0,19-24,Male,19-24
2023 - 12,2,14,19-24 Male,1.0,19-24,Male,19-24
2023 - 12,2,16,19-24 Male,1.0,19-24,Male,19-24
2023 - 12,3,52,19-24 Male,1.0,19-24,Male,19-24
2023 - 7,1,1,19-24 Male,4.0,19-24,Male,19-24
2023 - 7,1,3,19-24 Male,4.0,19-24,Male,19-24
2023 - 7,1,4,19-24 Male,7.0,19-24,Male,19-24
2023 - 7,1,8,19-24 Male,5.0,19-24,Male,19-24
2023 - 7,1,10,19-24 Male,2.0,19-24,Male,19-24
2023 - 7,1,33,19-24 Male,1.0,19-24,Male,19-24
2023 - 7,1,17,19-24 Male,4.0,19-24,Male,19-24
2023 - 7,2,11,19-24 Male,2.0,19-24,Male,19-24
2023 - 7,2,15,19-24 Male,3.0,19-24,Male,19-24
2023 - 7,2,17,19-24 Male,4.0,19-24,Male,19-24
2023 - 7,2,60,19-24 Male,1.0,19-24,Male,19-24
2023 - 7,2,63,19-24 Male,1.0,19-24,Male,19-24
2023 - 6,1,1,19-24 Male,7.0,19-24,Male,19-24
2023 - 6,1,4,19-24 Male,1.0,19-24,Male,19-24
2023 - 6,1,3,19-24 Male,2.0,19-24,Male,19-24
2023 - 6,1,10,19-24 Male,1.0,19-24,Male,19-24
2023 - 6,1,17,19-24 Male,3.0,19-24,Male,19-24
2023 - 6,1,8,19-24 Male,1.0,19-24,Male,19-24
2023 - 6,2,12,19-24 Male,1.0,19-24,Male,19-24
2023 - 6,2,16,19-24 Male,2.0,19-24,Male,19-24
2023 - 6,2,15,19-24 Male,1.0,19-24,Male,19-24
2023 - 6,2,36,19-24 Male,4.0,19-24,Male,19-24
2023 - 6,2,17,19-24 Male,2.0,19-24,Male,19-24
2023 - 6,2,14,19-24 Male,2.0,19-24,Male,19-24
2023 - 6,2,75,19-24 Male,1.0,19-24,Male,19-24
2023 - 11,1,4,19-24 Male,9.0,19-24,Male,19-24
2023 - 11,1,83,19-24 Male,2.0,19-24,Male,19-24
2023 - 11,1,6,19-24 Male,3.0,19-24,Male,19-24
2023 - 11,1,7,19-24 Male,4.0,19-24,Male,19-24
2023 - 11,1,1,19-24 Male,13.0,19-24,Male,19-24
2023 - 11,1,17,19-24 Male,6.0,19-24,Male,19-24
2023 - 11,1,84,19-24 Male,2.0,19-24,Male,19-24
2023 - 11,1,3,19-24 Male,4.0,19-24,Male,19-24
2023 - 11,2,15,19-24 Male,1.0,19-24,Male,19-24
2023 - 11,2,11,19-24 Male,2.0,19-24,Male,19-24
2023 - 11,2,59,19-24 Male,3.0,19-24,Male,19-24
2023 - 11,2,36,19-24 Male,4.0,19-24,Male,19-24
2023 - 11,2,16,19-24 Male,2.0,19-24,Male,19-24
2023 - 11,2,12,19-24 Male,1.0,19-24,Male,19-24
2023 - 10,1,1,19-24 Male,19.0,19-24,Male,19-24
2023 - 10,1,6,19-24 Male,1.0,19-24,Male,19-24
2023 - 10,1,3,19-24 Male,2.0,19-24,Male,19-24
2023 - 10,1,4,19-24 Male,8.0,19-24,Male,19-24
2023 - 10,1,7,19-24 Male,1.0,19-24,Male,19-24
2023 - 10,1,48,19-24 Male,1.0,19-24,Male,19-24
2023 - 10,1,10,19-24 Male,2.0,19-24,Male,19-24
2023 - 10,1,8,19-24 Male,4.0,19-24,Male,19-24
2023 - 10,1,17,19-24 Male,3.0,19-24,Male,19-24
2023 - 10,2,49,19-24 Male,8.0,19-24,Male,19-24
2023 - 10,2,12,19-24 Male,3.0,19-24,Male,19-24
2023 - 10,2,11,19-24 Male,1.0,19-24,Male,19-24
2023 - 10,2,17,19-24 Male,2.0,19-24,Male,19-24
2023 - 10,2,15,19-24 Male,1.0,19-24,Male,19-24
2023 - 10,2,16,19-24 Male,2.0,19-24,Male,19-24
2023 - 10,2,14,19-24 Male,1.0,19-24,Male,19-24
2023 - 9,1,1,19-24 Male,11.0,19-24,Male,19-24
2023 - 9,1,6,19-24 Male,1.0,19-24,Male,19-24
2023 - 9,1,3,19-24 Male,4.0,19-24,Male,19-24
2023 - 9,1,4,19-24 Male,5.0,19-24,Male,19-24
2023 - 9,1,7,19-24 Male,4.0,19-24,Male,19-24
2023 - 9,1,10,19-24 Male,5.0,19-24,Male,19-24
2023 - 9,1,8,19-24 Male,7.0,19-24,Male,19-24
2023 - 9,1,48,19-24 Male,1.0,19-24,Male,19-24
2023 - 9,1,84,19-24 Male,2.0,19-24,Male,19-24
2023 - 9,1,5,19-24 Male,1.0,19-24,Male,19-24
2023 - 9,2,35,19-24 Male,0.0,19-24,Male,19-24
2023 - 9,2,12,19-24 Male,1.0,19-24,Male,19-24
2023 - 9,2,11,19-24 Male,2.0,19-24,Male,19-24
2023 - 9,2,17,19-24 Male,4.0,19-24,Male,19-24
2023 - 9,2,49,19-24 Male,8.0,19-24,Male,19-24
2023 - 9,2,95,19-24 Male,0.0,19-24,Male,19-24
2023 - 9,2,15,19-24 Male,1.0,19-24,Male,19-24
2023 - 9,2,16,19-24 Male,4.0,19-24,Male,19-24
2023 - 9,2,51,19-24 Male,0.0,19-24,Male,19-24
2023 - 9,2,14,19-24 Male,0.0,19-24,Male,19-24
2023 - 4,1,1,19-24 Female,2.0,19-24,Female,19-24
2023 - 4,1,2,19-24 Female,33.0,19-24,Female,19-24
2023 - 4,1,3,19-24 Female,2.0,19-24,Female,19-24
2023 - 4,1,4,19-24 Female,10.0,19-24,Female,19-24
2023 - 4,1,5,19-24 Female,4.0,19-24,Female,19-24
2023 - 4,1,6,19-24 Female,1.0,19-24,Female,19-24
2023 - 4,1,7,19-24 Female,3.0,19-24,Female,19-24
2023 - 4,1,8,19-24 Female,9.0,19-24,Female,19-24
2023 - 4,1,10,19-24 Female,1.0,19-24,Female,19-24
2023 - 4,2,11,19-24 Female,4.0,19-24,Female,19-24
2023 - 4,2,12,19-24 Female,9.0,19-24,Female,19-24
2023 - 4,2,14,19-24 Female,4.0,19-24,Female,19-24
2023 - 4,2,15,19-24 Female,6.0,19-24,Female,19-24
2023 - 4,2,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 4,2,19,19-24 Female,1.0,19-24,Female,19-24
2023 - 8,1,1,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,1,9,19-24 Female,1.0,19-24,Female,19-24
2023 - 8,1,4,19-24 Female,13.0,19-24,Female,19-24
2023 - 8,1,7,19-24 Female,4.0,19-24,Female,19-24
2023 - 8,1,8,19-24 Female,7.0,19-24,Female,19-24
2023 - 8,1,5,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,1,10,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,1,33,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,1,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,2,34,19-24 Female,3.0,19-24,Female,19-24
2023 - 8,2,12,19-24 Female,11.0,19-24,Female,19-24
2023 - 8,2,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,2,15,19-24 Female,4.0,19-24,Female,19-24
2023 - 8,2,36,19-24 Female,2.0,19-24,Female,19-24
2023 - 8,2,38,19-24 Female,5.0,19-24,Female,19-24
2023 - 8,2,16,19-24 Female,2.0,19-24,Female,19-24
2023 - 12,1,1,19-24 Female,15.0,19-24,Female,19-24
2023 - 12,1,6,19-24 Female,4.0,19-24,Female,19-24
2023 - 12,1,3,19-24 Female,10.0,19-24,Female,19-24
2023 - 12,1,4,19-24 Female,10.0,19-24,Female,19-24
2023 - 12,1,7,19-24 Female,7.0,19-24,Female,19-24
2023 - 12,1,5,19-24 Female,1.0,19-24,Female,19-24
2023 - 12,1,10,19-24 Female,2.0,19-24,Female,19-24
2023 - 12,1,17,19-24 Female,3.0,19-24,Female,19-24
2023 - 12,1,48,19-24 Female,2.0,19-24,Female,19-24
2023 - 12,1,8,19-24 Female,7.0,19-24,Female,19-24
2023 - 12,2,49,19-24 Female,7.0,19-24,Female,19-24
2023 - 12,2,11,19-24 Female,1.0,19-24,Female,19-24
2023 - 12,2,12,19-24 Female,9.0,19-24,Female,19-24
2023 - 12,2,17,19-24 Female,1.0,19-24,Female,19-24
2023 - 12,2,15,19-24 Female,1.0,19-24,Female,19-24
2023 - 12,2,50,19-24 Female,1.0,19-24,Female,19-24
2023 - 12,2,16,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,1,1,19-24 Female,3.0,19-24,Female,19-24
2023 - 7,1,3,19-24 Female,3.0,19-24,Female,19-24
2023 - 7,1,4,19-24 Female,7.0,19-24,Female,19-24
2023 - 7,1,7,19-24 Female,3.0,19-24,Female,19-24
2023 - 7,1,6,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,1,8,19-24 Female,13.0,19-24,Female,19-24
2023 - 7,1,10,19-24 Female,3.0,19-24,Female,19-24
